Nottingham
Scores & Fixtures 2023-2024 Nottingham Forest: All Competitions 
GlossaryScroll Right For More Stats · Switch to Widescreen View
Date	Time	Comp	Round	Day	Venue	Result	GF	GA	Opponent	xG	xGA	Poss	Attendance	Captain	Formation	Referee	Match Report	Notes
2023-08-12	12:30 (14:30)	Premier League	Matchweek 1	Sat	Away	L	1	2	Arsenal	1.2	0.8	22	59,984	Joe Worrall	3-4-3	Michael Oliver	Match Report	
2023-08-18	19:45 (21:45)	Premier League	Matchweek 2	Fri	Home	W	2	1	Sheffield Utd	1.4	0.5	50	29,432	Joe Worrall	3-4-3	Peter Bankes	Match Report	
2023-08-26	15:00 (17:00)	Premier League	Matchweek 3	Sat	Away	L	2	3	Manchester Utd	1.2	2.8	34	73,595	Joe Worrall	3-4-3	Stuart Attwell	Match Report	
2023-08-30	19:45 (21:45)	EFL Cup	Second round	Wed	Home	L	0	1	Burnley			40	27,766	Ryan Yates	5-3-2	Robert Madley	Match Report	
2023-09-02	15:00 (17:00)	Premier League	Matchweek 4	Sat	Away	W	1	0	Chelsea	0.8	2.3	25	39,820	Joe Worrall	3-4-3	Tim Robinson	Match Report	
2023-09-18	19:45 (21:45)	Premier League	Matchweek 5	Mon	Home	D	1	1	Burnley	0.7	0.5	46	28,958	Joe Worrall	4-2-3-1	Robert Jones	Match Report	
2023-09-23	15:00 (17:00)	Premier League	Matchweek 6	Sat	Away	L	0	2	Manchester City	1.0	1.3	43	53,413	Serge Aurier	5-4-1	Anthony Taylor	Match Report	
2023-10-01	14:00 (16:00)	Premier League	Matchweek 7	Sun	Home	D	1	1	Brentford	0.5	1.6	41	29,004	Serge Aurier	4-3-3	Paul Tierney	Match Report	
2023-10-07	17:30 (19:30)	Premier League	Matchweek 8	Sat	Away	D	0	0	Crystal Palace	1.0	0.8	48	25,017	Serge Aurier	4-3-3	Craig Pawson	Match Report	
2023-10-21	15:00 (17:00)	Premier League	Matchweek 9	Sat	Home	D	2	2	Luton Town	2.9	1.7	57	29,361	Serge Aurier	4-3-3	Samuel Barrott	Match Report	
2023-10-29	14:00 (17:00)	Premier League	Matchweek 10	Sun	Away	L	0	3	Liverpool	0.4	3.2	28	50,143	Serge Aurier	5-4-1	Chris Kavanagh	Match Report	
2023-11-05	14:00 (17:00)	Premier League	Matchweek 11	Sun	Home	W	2	0	Aston Villa	0.4	1.2	27	29,313	Morgan Gibbs-White	4-3-3	Jarred Gillett	Match Report	
2023-11-12	14:00 (17:00)	Premier League	Matchweek 12	Sun	Away	L	2	3	West Ham	1.7	1.8	46	62,470	Morgan Gibbs-White	4-3-3	Michael Salisbury	Match Report	
